thscode,time,open,high,low,close,volume,market_cap,industry,index_name
399001.SZ,2023-04-26,11101.1764,11244.0401,11088.1976,11185.6823,438565413.38,,,深证成指
399001.SZ,2023-04-27,11140.8943,11258.7592,11128.1079,11216.9975,415685321.76,,,深证成指
399001.SZ,2023-04-28,11228.4641,11340.4625,11228.4641,11338.6662,453848625.28,,,深证成指
399001.SZ,2023-05-04,11310.3475,11328.9998,11242.1197,11273.8659,482011992.65,,,深证成指
399001.SZ,2023-05-05,11260.6192,11262.3314,11124.9134,11180.872,442026270.83,,,深证成指
399001.SZ,2023-05-08,11206.3327,11234.9212,11158.8285,11225.7742,439329142.94,,,深证成指
399001.SZ,2023-05-09,11208.7432,11265.3285,11121.9737,11125.0219,481338002.05,,,深证成指
399001.SZ,2023-05-10,11101.0122,11177.8108,11043.3636,11140.188,394663045.59,,,深证成指
399001.SZ,2023-05-11,11158.7225,11200.9054,11136.2566,11142.5252,385308783.37,,,深证成指
399001.SZ,2023-05-12,11131.2955,11172.7052,11004.2632,11005.6438,367693644.63,,,深证成指
399001.SZ,2023-05-15,11019.6999,11178.6231,10995.7033,11178.6231,384684379.98,,,深证成指
399001.SZ,2023-05-16,11182.3562,11182.3562,11069.44,11099.2574,353743511.32,,,深证成指
399001.SZ,2023-05-17,11084.5574,11120.9694,11036.7728,11091.0838,326266963.42,,,深证成指
399001.SZ,2023-05-18,11108.3251,11144.4754,11024.0859,11078.2818,371723075.55,,,深证成指
399001.SZ,2023-05-19,11061.7531,11145.5069,11034.6333,11091.3595,355407470.68,,,深证成指
399001.SZ,2023-05-22,11083.3814,11159.309,11037.2098,11127.0372,345667850.75,,,深证成指
399001.SZ,2023-05-23,11124.258,11137.631,11012.5764,11012.5764,340074032.19,,,深证成指
399001.SZ,2023-05-24,10976.7283,11028.5676,10920.3267,10920.3267,345570373.6,,,深证成指
399001.SZ,2023-05-25,10915.1154,10954.2433,10801.2204,10896.582,377513829.32,,,深证成指
399001.SZ,2023-05-26,10889.2699,10926.836,10798.6544,10909.6503,357576008.95,,,深证成指
399001.SZ,2023-05-29,10942.6665,10961.7928,10790.5002,10822.0928,395539317.33,,,深证成指
399001.SZ,2023-05-30,10799.4018,10869.5521,10697.8713,10869.5521,397341086.19,,,深证成指
399001.SZ,2023-05-31,10849.8124,10849.8124,10732.4209,10793.8493,388079766.31,,,深证成指
399001.SZ,2023-06-01,10758.8876,10913.6377,10735.5086,10835.8963,419041309.27,,,深证成指
399001.SZ,2023-06-02,10875.31,11012.5461,10875.31,10998.0749,406446845.03,,,深证成指
399001.SZ,2023-06-05,10990.7298,10990.7298,10903.0475,10946.0841,375801794.45,,,深证成指
399001.SZ,2023-06-06,10928.5147,10933.6059,10752.2249,10773.4501,414938520.39,,,深证成指
399001.SZ,2023-06-07,10783.3106,10799.4649,10681.4755,10708.8224,348520500.59,,,深证成指
399001.SZ,2023-06-08,10710.9104,10775.3353,10648.1396,10722.8729,369611572.46,,,深证成指
399001.SZ,2023-06-09,10733.5167,10793.9257,10697.3602,10793.9257,408492315.36,,,深证成指
399001.SZ,2023-06-12,10769.021,10914.6246,10752.0114,10873.74,405335425.09,,,深证成指
399001.SZ,2023-06-13,10855.4428,10963.6472,10853.5704,10955.9599,401828791.15,,,深证成指
399001.SZ,2023-06-14,10976.5069,11034.1767,10962.447,10984.556,427026223.86,,,深证成指
399001.SZ,2023-06-15,11011.947,11185.6808,11011.8465,11182.9436,433495536.68,,,深证成指
399001.SZ,2023-06-16,11194.5496,11316.2432,11183.7942,11306.5313,426118435.48,,,深证成指
399001.SZ,2023-06-19,11305.785,11307.7485,11244.4215,11274.0491,430857132.53,,,深证成指
399001.SZ,2023-06-20,11260.1489,11338.1545,11248.1389,11305.3546,428286409.73,,,深证成指
399001.SZ,2023-06-21,11262.8415,11278.9714,11058.6341,11058.6341,418746594.83,,,深证成指
399001.SZ,2023-06-26,10963.6161,11002.3661,10848.7222,10872.2999,424191187.35,,,深证成指
399001.SZ,2023-06-27,10879.489,10987.1945,10863.6575,10978.0815,370430837.88,,,深证成指
399001.SZ,2023-06-28,10947.8941,10951.4103,10792.347,10926.3232,399824368.23,,,深证成指
399001.SZ,2023-06-29,10909.0821,10965.1068,10880.8762,10915.4988,380424072.02,,,深证成指
399001.SZ,2023-06-30,10897.4192,11067.3892,10883.5669,11026.5855,404836525.77,,,深证成指
399001.SZ,2023-07-03,11059.3129,11128.9263,11028.2394,11091.5629,441147038.93,,,深证成指
399001.SZ,2023-07-04,11080.6379,11133.445,11055.2558,11130.3037,399028775.87,,,深证成指
399001.SZ,2023-07-05,11129.1185,11129.1185,11014.3896,11029.2958,386448219.39,,,深证成指
399001.SZ,2023-07-06,11001.8663,11072.0746,10954.1542,10968.3697,378440662.48,,,深证成指
399001.SZ,2023-07-07,10939.2851,10949.9754,10852.9642,10888.5548,384314195.54,,,深证成指
399001.SZ,2023-07-10,10926.3569,10995.7989,10901.8366,10942.8323,344173872.91,,,深证成指
399001.SZ,2023-07-11,10953.8837,11030.1891,10933.2325,11028.683,350924413.24,,,深证成指
399001.SZ,2023-07-12,11020.3614,11029.2878,10905.8472,10919.2586,415862790.01,,,深证成指
399001.SZ,2023-07-13,10963.2347,11103.0822,10963.2347,11095.4366,395940515.96,,,深证成指
399001.SZ,2023-07-14,11108.9249,11120.1893,11069.3183,11080.3233,401616162.86,,,深证成指
399001.SZ,2023-07-17,11039.1263,11039.1263,10963.4748,11010.3578,363505430.57,,,深证成指
399001.SZ,2023-07-18,11030.976,11032.1175,10947.5091,10972.9624,362488646.41,,,深证成指
399001.SZ,2023-07-19,10959.044,10992.6908,10876.9595,10932.6491,328058683.37,,,深证成指
399001.SZ,2023-07-20,10947.6257,10998.0705,10804.3524,10816.2715,386132068.38,,,深证成指
399001.SZ,2023-07-21,10801.3351,10886.7263,10775.3476,10810.1815,372200415.68,,,深证成指
399001.SZ,2023-07-24,10771.6442,10837.982,10730.9367,10747.7928,353654310.44,,,深证成指
399001.SZ,2023-07-25,10909.1856,11021.933,10909.1856,11021.2907,438411550.9,,,深证成指
399001.SZ,2023-07-26,11001.8601,11001.8601,10942.413,10968.9802,415177960.5,,,深证成指
399001.SZ,2023-07-27,10985.5848,11024.0127,10904.7435,10923.7746,419988951.88,,,深证成指
399001.SZ,2023-07-28,10895.4825,11120.5888,10877.4048,11100.3951,469495575.02,,,深证成指
399001.SZ,2023-07-31,11158.7212,11289.1578,11153.7235,11183.9113,534958540.44,,,深证成指
399001.SZ,2023-08-01,11168.5017,11211.6805,11102.841,11143.2347,480961382.03,,,深证成指
399001.SZ,2023-08-02,11120.8641,11176.9362,11073.2293,11104.1586,428488637.01,,,深证成指
399001.SZ,2023-08-03,11067.7496,11164.764,11067.2917,11163.4197,415941239.37,,,深证成指
399001.SZ,2023-08-04,11229.4637,11305.5014,11185.9025,11238.0613,486043733.58,,,深证成指
399001.SZ,2023-08-07,11207.5809,11207.5809,11113.1403,11145.0304,416526632.56,,,深证成指
399001.SZ,2023-08-08,11126.6892,11156.2085,11075.4499,11098.4456,379190258.28,,,深证成指
399001.SZ,2023-08-09,11068.5296,11096.9261,11023.3679,11039.4508,359384011.96,,,深证成指
399001.SZ,2023-08-10,11023.2437,11060.4657,10974.5038,11050.2215,322373154.51,,,深证成指
399001.SZ,2023-08-11,11060.8485,11060.8485,10808.8655,10808.8655,371809334.16,,,深证成指
399001.SZ,2023-08-14,10697.8129,10763.297,10607.7105,10755.1425,345682092.28,,,深证成指
399001.SZ,2023-08-15,10764.799,10780.5204,10589.8473,10679.728,332540167.32,,,深证成指
399001.SZ,2023-08-16,10640.1312,10686.9215,10579.4722,10579.5575,333977651.7,,,深证成指
399001.SZ,2023-08-17,10540.4373,10656.8349,10469.7941,10644.5235,349464107.71,,,深证成指
399001.SZ,2023-08-18,10637.6775,10655.6088,10458.5103,10458.5103,363919163.61,,,深证成指
399001.SZ,2023-08-21,10432.9468,10482.1107,10320.3923,10320.3923,321541143.58,,,深证成指
399001.SZ,2023-08-22,10376.8597,10409.4302,10198.0116,10374.727,386555815.6,,,深证成指
399001.SZ,2023-08-23,10351.701,10351.701,10151.8226,10152.6045,336884785.48,,,深证成指
399001.SZ,2023-08-24,10203.1429,10341.8588,10153.4391,10256.1896,366989478.98,,,深证成指
399001.SZ,2023-08-25,10197.9573,10212.6467,10091.8625,10130.4711,387522508.03,,,深证成指
399001.SZ,2023-08-28,10714.6933,10714.6933,10204.9813,10233.1533,529252226.06,,,深证成指
399001.SZ,2023-08-29,10204.248,10496.6161,10200.8493,10454.9802,507722442.34,,,深证成指
399001.SZ,2023-08-30,10477.6438,10569.5464,10446.4619,10482.4967,475830315.54,,,深证成指
399001.SZ,2023-08-31,10471.9945,10483.085,10405.9561,10418.21,401930565.16,,,深证成指
399001.SZ,2023-09-01,10449.6029,10513.4202,10429.5921,10463.7436,359933709.96,,,深证成指
399001.SZ,2023-09-04,10520.4581,10611.7396,10473.1897,10611.7396,416166022.82,,,深证成指
399001.SZ,2023-09-05,10593.6796,10611.4439,10522.8919,10540.7089,386458928.81,,,深证成指
399001.SZ,2023-09-06,10503.1541,10531.287,10449.1585,10515.2128,373872507.1,,,深证成指
399001.SZ,2023-09-07,10493.3683,10493.3683,10321.3771,10321.4376,388462856.61,,,深证成指
399001.SZ,2023-09-08,10284.48,10319.8408,10233.7142,10281.8784,343406845.79,,,深证成指
399001.SZ,2023-09-11,10290.8087,10443.0046,10256.2344,10382.377,394108675.97,,,深证成指
399001.SZ,2023-09-12,10376.1636,10421.5559,10349.3332,10373.9929,343766525.54,,,深证成指
399001.SZ,2023-09-13,10351.7892,10373.1533,10200.701,10255.8678,356913266.82,,,深证成指
399001.SZ,2023-09-14,10243.2449,10252.0195,10154.6369,10197.5915,335577118.44,,,深证成指
399001.SZ,2023-09-15,10213.6129,10241.8752,10115.2809,10144.5949,332213315.24,,,深证成指
399001.SZ,2023-09-18,10111.6688,10253.4872,10093.4656,10200.0359,335342466.92,,,深证成指
399001.SZ,2023-09-19,10185.0729,10185.0729,10082.6714,10125.7283,316898270.3,,,深证成指
399001.SZ,2023-09-20,10110.4136,10123.6893,10072.4585,10072.4585,294836645.53,,,深证成指
399001.SZ,2023-09-21,10050.4805,10087.0322,9981.5232,9981.6702,297047725.64,,,深证成指
399001.SZ,2023-09-22,9975.3677,10183.9281,9962.9388,10178.7361,367443053.55,,,深证成指
399001.SZ,2023-09-25,10181.1784,10181.1784,10105.2103,10120.6237,344715139.58,,,深证成指
399001.SZ,2023-09-26,10110.0621,10146.8933,10060.1512,10060.1512,315562061.64,,,深证成指
399001.SZ,2023-09-27,10057.992,10185.0204,10057.1677,10104.3242,345305830.77,,,深证成指
399001.SZ,2023-09-28,10131.6551,10155.0338,10085.0858,10109.5275,352561575.93,,,深证成指
399001.SZ,2023-10-09,10095.7064,10139.4876,9991.1695,10106.9604,386367546.47,,,深证成指
399001.SZ,2023-10-10,10133.0198,10159.4715,10044.6691,10050.0355,396909716.84,,,深证成指
399001.SZ,2023-10-11,10088.1437,10164.0706,10058.3328,10084.8944,408425376.68,,,深证成指
399001.SZ,2023-10-12,10145.4913,10174.2305,10097.1062,10168.4945,403711651.98,,,深证成指
399001.SZ,2023-10-13,10110.3779,10110.3779,10028.7388,10068.2825,407535133.5,,,深证成指
399001.SZ,2023-10-16,10065.0658,10065.9668,9889.6593,9924.9198,425465446.54,,,深证成指
399001.SZ,2023-10-17,9944.6814,9958.9814,9888.0908,9940.2176,377328276.48,,,深证成指
399001.SZ,2023-10-18,9914.0206,9914.0206,9809.3698,9816.6759,392406577.35,,,深证成指
399001.SZ,2023-10-19,9757.1859,9784.5332,9654.9703,9655.086,394225852.37,,,深证成指
399001.SZ,2023-10-20,9605.2906,9665.8106,9554.6269,9570.3572,368151525.67,,,深证成指
399001.SZ,2023-10-23,9552.5477,9552.5477,9373.7562,9425.9755,383207567.65,,,深证成指
399001.SZ,2023-10-24,9458.3283,9523.8955,9380.7925,9483.9036,401263786.26,,,深证成指
399001.SZ,2023-10-25,9573.6702,9617.6723,9524.823,9528.3063,440145243.21,,,深证成指
399001.SZ,2023-10-26,9470.4888,9571.1587,9432.8388,9566.1021,435715342.83,,,深证成指
399001.SZ,2023-10-27,9535.6454,9805.6956,9513.3238,9770.844,477342877.77,,,深证成指
