open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
186.1,186.58,178.58,184.89,37184949,300750.SZ,2024-06-14,宁德时代,NA,CNY
182.55,190.5,182.31,188.2,26929318,300750.SZ,2024-06-17,宁德时代,NA,CNY
188.15,190.47,187.02,190.33,15652909,300750.SZ,2024-06-18,宁德时代,NA,CNY
190.6,190.7,187.68,189.01,10753975,300750.SZ,2024-06-19,宁德时代,NA,CNY
189.99,190.11,187.1,187.99,11562370,300750.SZ,2024-06-20,宁德时代,NA,CNY
188.31,188.96,182.37,185.16,18467717,300750.SZ,2024-06-21,宁德时代,NA,CNY
183.0,187.99,183.0,186.98,18035490,300750.SZ,2024-06-24,宁德时代,NA,CNY
187.0,189.2,185.6,186.32,14414412,300750.SZ,2024-06-25,宁德时代,NA,CNY
185.12,186.63,183.2,185.51,10481398,300750.SZ,2024-06-26,宁德时代,NA,CNY
185.51,185.88,183.01,185.0,12653577,300750.SZ,2024-06-27,宁德时代,NA,CNY
183.8,185.48,179.84,180.03,19420506,300750.SZ,2024-06-28,宁德时代,NA,CNY
179.19,179.28,171.17,176.07,26995744,300750.SZ,2024-07-01,宁德时代,NA,CNY
173.85,176.96,172.11,176.08,14415586,300750.SZ,2024-07-02,宁德时代,NA,CNY
177.0,182.5,176.31,179.5,16205321,300750.SZ,2024-07-03,宁德时代,NA,CNY
180.39,182.99,179.2,179.6,11834646,300750.SZ,2024-07-04,宁德时代,NA,CNY
181.0,182.49,176.5,177.62,13524707,300750.SZ,2024-07-05,宁德时代,NA,CNY
176.01,178.37,175.01,175.91,10806397,300750.SZ,2024-07-08,宁德时代,NA,CNY
175.3,177.3,173.09,175.77,16443915,300750.SZ,2024-07-09,宁德时代,NA,CNY
175.01,180.09,173.05,173.05,17772919,300750.SZ,2024-07-10,宁德时代,NA,CNY
175.0,178.98,173.49,177.01,20811148,300750.SZ,2024-07-11,宁德时代,NA,CNY
177.85,181.77,177.0,179.8,19550460,300750.SZ,2024-07-12,宁德时代,NA,CNY
178.3,179.95,177.11,178.12,11469696,300750.SZ,2024-07-15,宁德时代,NA,CNY
177.5,180.5,177.3,179.3,15148737,300750.SZ,2024-07-16,宁德时代,NA,CNY
178.0,182.66,175.94,180.89,18590141,300750.SZ,2024-07-17,宁德时代,NA,CNY
180.0,189.1,179.68,188.35,31994401,300750.SZ,2024-07-18,宁德时代,NA,CNY
186.35,190.09,186.2,189.44,20847631,300750.SZ,2024-07-19,宁德时代,NA,CNY
191.19,194.18,187.4,189.52,17168252,300750.SZ,2024-07-22,宁德时代,NA,CNY
189.01,189.7,186.2,186.2,11903104,300750.SZ,2024-07-23,宁德时代,NA,CNY
186.0,189.09,185.39,186.32,14468136,300750.SZ,2024-07-24,宁德时代,NA,CNY
186.12,190.73,185.06,187.73,20595888,300750.SZ,2024-07-25,宁德时代,NA,CNY
190.0,193.3,188.05,189.35,23347718,300750.SZ,2024-07-26,宁德时代,NA,CNY
187.0,187.0,180.0,184.53,21362366,300750.SZ,2024-07-29,宁德时代,NA,CNY
183.22,185.33,183.22,184.89,12725163,300750.SZ,2024-07-30,宁德时代,NA,CNY
182.0,186.88,182.0,186.31,19896940,300750.SZ,2024-07-31,宁德时代,NA,CNY
185.0,186.0,180.1,180.3,23012659,300750.SZ,2024-08-01,宁德时代,NA,CNY
179.0,180.0,176.74,177.09,15493685,300750.SZ,2024-08-02,宁德时代,NA,CNY
175.01,180.19,175.0,177.0,19347659,300750.SZ,2024-08-05,宁德时代,NA,CNY
178.41,179.39,173.71,174.95,15768703,300750.SZ,2024-08-06,宁德时代,NA,CNY
174.95,176.23,173.67,173.67,12753959,300750.SZ,2024-08-07,宁德时代,NA,CNY
173.01,173.6,170.12,172.4,14658996,300750.SZ,2024-08-08,宁德时代,NA,CNY
173.6,174.87,170.0,170.0,15412989,300750.SZ,2024-08-09,宁德时代,NA,CNY
170.57,171.12,166.8,169.0,17415581,300750.SZ,2024-08-12,宁德时代,NA,CNY
168.89,174.96,168.38,173.78,19389256,300750.SZ,2024-08-13,宁德时代,NA,CNY
172.99,174.45,171.72,172.21,9966285,300750.SZ,2024-08-14,宁德时代,NA,CNY
172.0,174.6,171.29,173.4,14481202,300750.SZ,2024-08-15,宁德时代,NA,CNY
173.4,176.0,172.88,173.62,11150641,300750.SZ,2024-08-16,宁德时代,NA,CNY
173.35,177.94,173.15,175.6,14035843,300750.SZ,2024-08-19,宁德时代,NA,CNY
175.0,176.0,173.66,174.87,8436955,300750.SZ,2024-08-20,宁德时代,NA,CNY
174.0,175.41,172.0,174.01,11147405,300750.SZ,2024-08-21,宁德时代,NA,CNY
174.98,179.97,174.3,178.8,19901136,300750.SZ,2024-08-22,宁德时代,NA,CNY
177.0,182.52,177.0,181.8,18415176,300750.SZ,2024-08-23,宁德时代,NA,CNY
181.9,184.56,181.0,183.92,14838749,300750.SZ,2024-08-26,宁德时代,NA,CNY
182.52,184.49,181.5,183.5,9976992,300750.SZ,2024-08-27,宁德时代,NA,CNY
182.8,183.69,181.28,182.82,10639015,300750.SZ,2024-08-28,宁德时代,NA,CNY
179.17,182.99,179.17,180.8,15670242,300750.SZ,2024-08-29,宁德时代,NA,CNY
180.8,185.96,180.8,184.34,25429171,300750.SZ,2024-08-30,宁德时代,NA,CNY
184.44,185.59,181.0,181.19,12985176,300750.SZ,2024-09-02,宁德时代,NA,CNY
180.3,186.7,180.02,185.65,18196886,300750.SZ,2024-09-03,宁德时代,NA,CNY
185.32,189.0,184.85,187.15,16564524,300750.SZ,2024-09-04,宁德时代,NA,CNY
187.15,189.55,185.8,186.8,12318215,300750.SZ,2024-09-05,宁德时代,NA,CNY
